device_id,total_transactions,chargeback_count,distinct_cards_used,chargeback_rate
563499.0,22,19,22,0.8636363636363636
342890.0,19,15,19,0.7894736842105263
101848.0,17,15,15,0.8823529411764706
438940.0,14,13,10,0.9285714285714286
547440.0,13,12,10,0.9230769230769231
960729.0,6,6,6,1.0
357277.0,6,6,1,1.0
542535.0,7,6,7,0.8571428571428571
174844.0,5,5,2,1.0
597308.0,5,5,1,1.0
308950.0,5,5,4,1.0
223682.0,7,4,7,0.5714285714285714
288714.0,4,4,2,1.0
262327.0,6,4,6,0.6666666666666666
978084.0,6,4,3,0.6666666666666666
698520.0,4,4,2,1.0
570971.0,4,4,2,1.0
122092.0,4,4,1,1.0
766158.0,5,4,3,0.8
60010.0,5,4,2,0.8
707086.0,6,4,4,0.6666666666666666
670695.0,4,4,4,1.0
822562.0,4,4,1,1.0
686249.0,5,4,3,0.8
486.0,4,4,2,1.0
20098.0,3,3,1,1.0
760682.0,3,3,1,1.0
314172.0,3,3,2,1.0
656429.0,3,3,1,1.0
571150.0,3,3,2,1.0
453490.0,3,3,2,1.0
884678.0,3,3,3,1.0
180611.0,3,3,3,1.0
738394.0,3,3,1,1.0
81082.0,3,3,2,1.0
274282.0,8,3,4,0.375
790235.0,3,3,1,1.0
333645.0,4,3,4,0.75
611676.0,3,3,1,1.0
355583.0,3,3,1,1.0
868746.0,3,3,2,1.0
69227.0,2,2,1,1.0
304880.0,2,2,2,1.0
777035.0,3,2,3,0.6666666666666666
313443.0,2,2,1,1.0
111836.0,2,2,1,1.0
881571.0,2,2,1,1.0
835213.0,2,2,2,1.0
46597.0,2,2,2,1.0
278124.0,2,2,2,1.0
770656.0,2,2,1,1.0
705388.0,2,2,1,1.0
834436.0,2,2,2,1.0
306719.0,2,2,1,1.0
374474.0,2,2,1,1.0
307489.0,2,2,1,1.0
457665.0,2,2,2,1.0
707435.0,3,2,3,0.6666666666666666
10312.0,2,2,1,1.0
724452.0,2,2,2,1.0
183034.0,2,2,1,1.0
602462.0,2,2,1,1.0
190238.0,2,2,1,1.0
495100.0,2,2,1,1.0
386429.0,2,2,1,1.0
17372.0,2,2,1,1.0
691601.0,1,1,1,1.0
61321.0,2,1,2,0.5
341045.0,1,1,1,1.0
114015.0,1,1,1,1.0
416939.0,1,1,1,1.0
556236.0,1,1,1,1.0
808150.0,1,1,1,1.0
81906.0,1,1,1,1.0
86170.0,1,1,1,1.0
174041.0,1,1,1,1.0
677521.0,1,1,1,1.0
112327.0,2,1,2,0.5
694359.0,1,1,1,1.0
463922.0,1,1,1,1.0
790490.0,1,1,1,1.0
207247.0,1,1,1,1.0
892328.0,1,1,1,1.0
890266.0,1,1,1,1.0
586347.0,1,1,1,1.0
53477.0,1,1,1,1.0
452560.0,1,1,1,1.0
458322.0,1,1,1,1.0
918124.0,1,1,1,1.0
73501.0,1,1,1,1.0
330437.0,2,1,2,0.5
782901.0,2,1,1,0.5
561984.0,1,1,1,1.0
917759.0,1,1,1,1.0
94234.0,3,1,3,0.3333333333333333
123636.0,1,1,1,1.0
674387.0,1,1,1,1.0
645413.0,3,1,2,0.3333333333333333
264379.0,1,1,1,1.0
500595.0,1,1,1,1.0
660508.0,1,1,1,1.0
362646.0,1,1,1,1.0
977260.0,2,1,2,0.5
530853.0,1,1,1,1.0
162123.0,1,1,1,1.0
497105.0,2,1,2,0.5
866529.0,4,1,3,0.25
653105.0,1,1,1,1.0
287404.0,1,1,1,1.0
873893.0,1,1,1,1.0
367746.0,1,1,1,1.0
752936.0,1,1,1,1.0
990288.0,1,1,1,1.0
282011.0,1,1,1,1.0
857439.0,1,1,1,1.0
508744.0,1,1,1,1.0
6638.0,1,1,1,1.0
512700.0,1,1,1,1.0
972377.0,1,1,1,1.0
427796.0,1,1,1,1.0
129902.0,1,1,1,1.0
